time,full_ux,full_uy,full_uz,rom_ux,rom_uy,rom_uz,calculix_ux,calculix_uy,calculix_uz
0.295,-0.005329641264891028,-0.0009161927812812225,0.019206818864287944,-0.00529912191132272,-0.0009443960525069344,0.019178615593062293,-0.005398863,-0.0008912354,0.01934104
0.3,-0.00547737334364346,-0.0008433189723101033,0.019481395380811783,-0.00548795303519531,-0.000862052835013454,0.019462661518108437,-0.005548863,-0.0008051914,0.01960141
0.305,-0.005625183215118502,-0.0007410601756412526,0.01973442172445288,-0.005673373635153996,-0.0007446245065379792,0.0197308573935561,-0.005696784,-0.0006925765,0.01983541
0.31,-0.005770213310542625,-0.000620623483003991,0.019940518999657143,-0.005843892466958689,-0.000605926515993062,0.019955215966667984,-0.005839428,-0.0005660325,0.02002024
0.315,-0.005909581144313486,-0.0004939188539163115,0.020081670479026308,-0.005991647592174212,-0.0004618106396246013,0.020113778693317926,-0.005973664,-0.0004382285,0.02014245
0.32,-0.00603864054285003,-0.0003720011090054992,0.02015990079846028,-0.006111544807584773,-0.00032769397358711397,0.020204207933878605,-0.006094941,-0.0003203142,0.02020852
0.325,-0.0061507596463081845,-0.0002647355959250959,0.020200401360022095,-0.006200565768403864,-0.0002170440666960738,0.02024809288925111,-0.006197286,-0.0002215525,0.02024574
0.33,-0.006239160217604089,-0.0001807325688590699,0.020242413993123324,-0.006258142466221742,-0.00014021129401720094,0.02028293526796524,-0.006275114,-0.000149223,0.02029182
0.335,-0.006299948682548343,-0.0001265729676123895,0.02032170674061825,-0.006287324528851668,-0.00010298197887201359,0.020345297729358707,-0.006325923,-0.0001079432,0.02037784
0.34,-0.00633452377982904,-0.00010509317195758868,0.020453173746582044,-0.0062955205794439735,-0.00010485947409202918,0.020453407444447697,-0.006352167,-9.827586e-05,0.02051285
0.34500000000000003,-0.006349668862023571,-0.00011349468837116162,0.020622423468256462,-0.006293521960100729,-0.00013788457928122922,0.020598033577346457,-0.006360895,-0.0001153665,0.02067798
0.35000000000000003,-0.00635481964334027,-0.0001426181491856881,0.02079093503216904,-0.006292419688057331,-0.00018716426303822187,0.02074638891831652,-0.006360915,-0.0001487862,0.02083345
0.355,-0.00635761106917279,-0.00017844213708674225,0.02091263776197976,-0.0062993947826527775,-0.00023383040684956017,0.020857249492216894,-0.006358678,-0.0001844073,0.02093543
0.36,-0.006359939015367751,-0.00020582529495898034,0.020954062023938128,-0.006314365380925135,-0.00026004090674047005,0.02089984641215654,-0.006354975,-0.0002081537,0.02095495
0.365,-0.006356737002033286,-0.00021326905300211627,0.020908449136551103,-0.006329437063667726,-0.0002544488827042119,0.020867269306848884,-0.006344335,-0.0002103826,0.02088982
0.37,-0.006338398030246901,-0.00019675357531051497,0.02079727227048535,-0.006331915244558395,-0.000215999480020824,0.02077802636577493,-0.006317719,-0.0001891022,0.02076431
0.375,-0.006295884111454892,-0.00016094173239482112,0.02065890012317537,-0.0063098519708757374,-0.00015436852857723477,0.020665473326992874,-0.006267404,-0.0001505692,0.02061708
0.38,-0.006226052167640802,-0.00011717450312020869,0.020530397100531304,-0.006257654636954549,-8.668777554987189e-05,0.020560883828101614,-0.006191681,-0.000106907,0.02048347
0.385,-0.006134425063835097,-7.912291429670386e-05,0.02043153292063795,-0.0061790072194016325,-3.177510602166093e-05,0.020478880728913018,-0.006096917,-7.17013e-05,0.02038088
0.39,-0.00603377970089621,-5.7970068397865336e-05,0.020358504884787198,-0.006085494492013893,-4.123118833303929e-06,0.02041235183435182,-0.005995711,-5.538279e-05,0.02030382
0.395,-0.005938981865061382,-5.906800683095533e-05,0.020289610050532703,-0.005991379092632245,-9.889021281239493e-06,0.02033878903608249,-0.005901796,-6.219411e-05,0.02023013
0.4,-0.005860437490400591,-8.115917318237271e-05,0.020198965110318608,-0.005906944575370837,-4.611336209106175e-05,0.020234010921409973,-0.005824027,-8.968901e-05,0.02013435
