time,rom_error_norm,calculix_error_norm,rom_cumulative_relative,calculix_cumulative_relative
0.295,5.022230538203189e-05,0.00015306806578691502,0.003641103153268427,0.016555338399677384
0.3,2.8527970430931468e-05,0.00014480328571938878,0.0035581471398836743,0.016194680973843606
0.305,4.845333314314395e-05,0.00013295100976417484,0.0035063082416000473,0.015839510516572942
0.31,7.655468482608244e-05,0.00011885405570568035,0.003515552884228035,0.01549020139372947
0.315,9.379113345341371e-05,0.00010441349568927387,0.0035683296192313444,0.015149577360664948
0.32,9.613155732887376e-05,9.058203351768225e-05,0.003621161323007531,0.014820528433955113
0.325,8.384279169144039e-05,7.80068819821568e-05,0.0036375670277328264,0.01450487014841405
0.33,6.036781586413971e-05,6.874940664293053e-05,0.0036070535660092315,0.0142037302041827
0.335,3.5671259524416e-05,6.459625544248006e-05,0.003547440113548692,0.013917452664428094
0.34,3.900460062175248e-05,6.260203017739934e-05,0.003493975437301905,0.01364452821447299
0.34500000000000003,6.589543347410488e-05,5.671029952319285e-05,0.0034775931482468343,0.013381680081913774
0.35000000000000003,8.867055282356945e-05,4.339032972131756e-05,0.0035027484109346634,0.013126252577445062
0.355,9.759537320397288e-05,2.358405444242297e-05,0.003543676377351105,0.012878680880547297
0.36,8.919428949210894e-05,5.554405467083867e-06,0.003564314372700245,0.012642301581478563
0.365,6.431829742274547e-05,2.2565149988570637e-05,0.0035444256198661084,0.012420779315944703
0.37,2.7979210255545915e-05,3.965699322495318e-05,0.0034925708104110824,0.012215794781737573
0.375,1.6778412131500362e-05,5.16490936916406e-05,0.0034391185119334072,0.012026626419200284
0.38,5.3456498039251134e-05,5.9067347575380114e-05,0.0034140545007078087,0.011851160499061979
0.385,8.04437598068466e-05,6.34637974012044e-05,0.0034250531196267416,0.01168713896284101
0.39,9.205111392682207e-05,6.668100645327931e-05,0.0034540497728959263,0.011532986000340568
0.395,8.707821022803723e-05,7.021707408287404e-05,0.0034738443679173357,0.011388044201695818
0.4,6.796562883199967e-05,7.465650948733748e-05,0.003467700053851809,0.011252295941770851
